epoch,precision,recall,f1
1,0.6632782037116776,0.45928728522867635,0.5333542688673425
2,0.6941553690062079,0.46408432859239024,0.5463196478705564
3,0.6846189569633507,0.43378033811830463,0.523007987441706
4,0.6262099595230224,0.35886888177940984,0.45118025598524947
5,0.6412793124146801,0.36445362151307814,0.4597477095844672
6,0.6210713623067805,0.36979674212511554,0.4598759159104728
7,0.6295004978587824,0.3814920490233383,0.4708376932604887
8,0.6236876231550692,0.3879998893255062,0.47487723099723445
9,0.6123599624767526,0.36823975442051,0.45604683730950757
10,0.6269436161536628,0.37441124077995136,0.46532357331889945
11,0.609351754940156,0.3813304359309487,0.4660045312818097
12,0.6100992294506434,0.3600046972448002,0.44934475992998574
13,0.5978514538949333,0.36751620920059946,0.4525501962138545
14,0.6026566837829317,0.36649716005080196,0.45324027293841473
15,0.5978473262763363,0.33745356207339505,0.42782865586075836
16,0.5961023860679069,0.36188260683504936,0.447456812101317
17,0.585722504721973,0.35935344390525326,0.4422349444276293
18,0.6033852897957728,0.3590207620747315,0.447720935515021
19,0.6062841185878394,0.3777657037342141,0.46253411012025475
20,0.6077720380913568,0.35519308317749426,0.44506705723509743
